,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8470600,Ryan Suter,MIN,D,https://assets.nhle.com/mugs/nhl/20132014/MIN/8470600.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,22,ryansuter,40,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
1,8474578,Erik Karlsson,OTT,D,https://assets.nhle.com/mugs/nhl/20132014/OTT/8474578.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,65,erikkarlsson,35,1990-05-31,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
2,8466285,Brian Campbell,FLA,D,https://assets.nhle.com/mugs/nhl/20132014/FLA/8466285.png,https://assets.nhle.com/logos/nhl/svg/FLA_19992000-20152016_light.svg,51,briancampbell,46,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
3,8470642,Shea Weber,NSH,D,https://assets.nhle.com/mugs/nhl/20132014/NSH/8470642.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,6,sheaweber,39,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
4,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20132014/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,35,1990-06-01,Bern,,CHE,CHE,73,201,2008,NSH,2,8,38
5,8475171,Oliver Ekman-Larsson,PHX,D,https://assets.nhle.com/mugs/nhl/20132014/PHX/8475171.png,https://assets.nhle.com/logos/nhl/svg/PHX_20032004-20132014_light.svg,95,oliverekmanlarsson,34,1991-07-17,Karlskrona,,SWE,SWE,74,200,2009,PHX,1,6,6
6,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20132014/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,8,drewdoughty,35,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
7,8474565,Alex Pietrangelo,STL,D,https://assets.nhle.com/mugs/nhl/20132014/STL/8474565.png,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,7,alexpietrangelo,35,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
8,8467496,Andrei Markov,MTL,D,https://assets.nhle.com/mugs/nhl/20132014/MTL/8467496.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,79,andreimarkov,46,1978-12-20,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
9,8470966,Mark Giordano,CGY,D,https://assets.nhle.com/mugs/nhl/20132014/CGY/8470966.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,55,markgiordano,41,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
10,8474612,Travis Hamonic,NYI,D,https://assets.nhle.com/mugs/nhl/20132014/NYI/8474612.png,https://assets.nhle.com/logos/nhl/svg/NYI_20102011-20162017_light.svg,23,travishamonic,34,1990-08-16,St. Malo,MB,CAN,CAN,73,200,2008,NYI,2,23,53
11,8474151,Ryan McDonagh,NYR,D,https://assets.nhle.com/mugs/nhl/20132014/NYR/8474151.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,27,ryanmcdonagh,36,1989-06-13,St. Paul,MN,USA,USA,73,215,2007,MTL,1,12,12
12,8471677,Jack Johnson,CBJ,D,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8471677.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,3,jackjohnson,38,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
13,8465009,Zdeno Chara,BOS,D,https://assets.nhle.com/mugs/nhl/20132014/BOS/8465009.png,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,33,zdenochara,48,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
14,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20132014/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,2,duncankeith,42,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
15,8473584,Andrew MacDonald,PHI,D,https://assets.nhle.com/mugs/nhl/20132014/PHI/8473584.png,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,47,andrewmacdonald,38,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
16,8474056,P.K. Subban,MTL,D,https://assets.nhle.com/mugs/nhl/20132014/MTL/8474056.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,76,pksubban,36,1989-05-13,Toronto,ON,CAN,CAN,72,210,2007,MTL,2,13,43
17,8472382,Andy Greene,NJD,D,https://assets.nhle.com/mugs/nhl/20132014/NJD/8472382.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,4,andygreene,42,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
18,8468542,Paul Martin,PIT,D,https://assets.nhle.com/mugs/nhl/20132014/PIT/8468542.png,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,7,paulmartin,44,1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,N.J,2,32,62
19,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20132014/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,74,johncarlson,35,1990-01-10,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
