,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
30,Reto Berra,FLA,G,38,1987-01-03,Bulach,,CHE,CHE,76,218,2006,STL,4,13,106
31,James Reimer,FLA,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
32,Jhonas Enroth,TOR,G,37,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46
33,Jonathan Bernier,ANA,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
34,Jeff Zatkoff,L.A,G,38,1987-06-09,Detroit,MI,USA,USA,74,186,2006,L.A,3,11,74
35,Semyon Varlamov,COL,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
36,Michal Neuvirth,PHI,G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
37,Richard Bachman,VAN,G,38,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,DAL,4,27,120
38,Jeremy Smith,COL,G,36,1989-04-13,Dearborn,MI,USA,USA,72,177,2007,NSH,2,24,54
39,Scott Darling,CHI,G,36,1988-12-22,Newport News,VA,USA,USA,78,226,2007,PHX,6,2,153
40,Antti Niemi,DAL,G,41,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-
41,Jacob Markstrom,VAN,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
42,Jake Allen,STL,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
43,Michael Hutchinson,WPG,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
44,Braden Holtby,WSH,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
45,Dustin Tokarski,ANA,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
46,Martin Jones,S.J,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
47,Anders Nilsson,BUF,G,35,1990-03-19,Lulea,,SWE,SWE,78,232,2009,NYI,3,1,62
48,Robin Lehner,BUF,G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
49,Jean-Francois Berube,NYI,G,34,1991-07-13,Repentigny,QC,CAN,CAN,73,177,2009,L.A,4,4,95
50,Darcy Kuemper,MIN,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
51,Jonas Gustavsson,EDM,G,40,1984-10-24,Danderyd,,SWE,SWE,76,201,-,-,-,-,-
52,Carter Hutton,STL,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
53,Cam Talbot,EDM,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
54,Eddie Lack,CAR,G,37,1988-01-05,Norrtälje,,SWE,SWE,76,187,-,-,-,-,-
55,Sergei Bobrovsky,CBJ,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
56,Calvin Pickard,COL,G,33,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
57,Jack Campbell,L.A,G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
58,Philipp Grubauer,WSH,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
59,Louis Domingue,ARI,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
60,Petr Mrazek,DET,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
61,Zane McIntyre,BOS,G,32,1992-08-20,Grand Forks,ND,USA,USA,74,206,2010,BOS,6,15,165
62,Frederik Andersen,TOR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
63,Keith Kinkaid,N.J,G,36,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
64,Laurent Brossoit,EDM,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
65,Anton Forsberg,CBJ,G,32,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
66,Magnus Hellberg,NYR,G,34,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38
67,John Gibson,ANA,G,32,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
68,Malcolm Subban,BOS,G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
69,Andrei Vasilevskiy,T.B,G,31,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
70,Matt Murray,PIT,G,31,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
71,Jon Gillies,CGY,G,31,1994-01-22,Concord,NH,USA,USA,78,223,2012,CGY,3,14,75
72,Chris Driedger,OTT,G,31,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
73,Joonas Korpisalo,CBJ,G,31,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
74,Anthony Stolarz,PHI,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
75,Connor Hellebuyck,WPG,G,32,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
76,Marek Langhamer,ARI,G,31,1994-07-22,Moravska Trebova,,CZE,CZE,74,190,2012,PHX,7,3,184
77,Marek Mazanec,NSH,G,34,1991-07-18,Pisek,,CZE,CZE,76,202,2012,NSH,6,28,179
78,Linus Ullmark,BUF,G,32,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
79,Aaron Dell,S.J,G,36,1989-05-04,Airdrie,AB,CAN,CAN,72,213,-,-,-,-,-
80,Andrew Hammond,OTT,G,37,1988-02-11,Surrey,BC,CAN,CAN,74,215,-,-,-,-,-
81,Jared Coreau,DET,G,33,1991-11-05,Perth,ON,CAN,CAN,78,214,-,-,-,-,-
82,Mike Condon,"OTT, PIT",G,35,1990-04-27,Holliston,MA,USA,USA,74,195,-,-,-,-,-
83,Antti Raanta,NYR,G,36,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
84,Antoine Bibeau,TOR,G,31,1994-05-01,Victoriaville,QC,CAN,CAN,75,205,2013,TOR,6,21,172
85,Kristers Gudlevskis,T.B,G,33,1992-07-31,Aizkraukle,,LVA,LVA,75,188,2013,T.B,5,3,124
86,Juuse Saros,NSH,G,30,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
87,Tristan Jarry,PIT,G,30,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
88,Eric Comrie,WPG,G,30,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
89,Spencer Martin,COL,G,30,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63
90,Pheonix Copley,STL,G,33,1992-01-18,North Pole,AK,USA,USA,76,200,-,-,-,-,-
91,Alex Nedeljkovic,CAR,G,29,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
92,Jorge Alves,CAR,G,46,1979-01-30,Boston,MA,USA,USA,69,188,-,-,-,-,-
93,Charlie Lindgren,MTL,G,31,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-
94,David Rittich,CGY,G,32,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-
