,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Dominik Hasek,DET,41,2350.0666666667,855,771,84,0.902,2.14,-6.31,77.0,239,192,47,0.803,1.2,-1.08,217,195,22,0.899,0.56,-2.93,354,340,14,0.96,0.36,-0.37,45,61,36.29,28.90
1,Curtis Joseph,CGY,9,399.66666666667,181,164,17,0.906,2.55,-0.55,17.36,52,43,9,0.827,1.35,0.99,50,45,5,0.900,0.75,-0.61,75,72,3,0.96,0.45,-0.11,9,21,36.82,27.06
2,Olie Kolzig,WSH,54,3153.6333333333,1423,1270,153,0.892,2.91,-23.7,121.41,361,267,94,0.740,1.79,-24.64,377,341,36,0.905,0.68,-2.87,633,610,23,0.964,0.44,1.38,52,126,37.56,21.47
3,Martin Brodeur,N.J,77,4613.1666666667,2088,1920,168,0.92,2.19,21.72,170.63,554,460,94,0.830,1.22,12.45,529,488,41,0.922,0.53,5.49,958,925,33,0.966,0.43,3.9,73,155,36.37,23.84
4,Chris Osgood,DET,43,2413.3,976,892,84,0.914,2.09,4.68,84.07,271,230,41,0.849,1.02,11.07,269,248,21,0.922,0.52,2.64,402,381,21,0.948,0.52,-5.52,35,70,35.3,26.50
5,Manny Fernandez,BOS,4,224.11666666667,95,79,16,0.832,4.28,-7.37,9.43,31,24,7,0.774,1.87,-1.04,16,9,7,0.563,1.87,-5.59,37,35,2,0.946,0.54,-0.57,10,14,51.28,25.94
6,Nikolai Khabibulin,CHI,50,2873.8166666667,1387,1260,127,0.908,2.65,-0.97,118.85,391,321,70,0.821,1.46,5.13,416,382,34,0.918,0.71,2.56,552,529,23,0.958,0.48,-1.74,55,85,34.45,25.08
7,Manny Legace,STL,66,3645.6833333333,1648,1501,147,0.911,2.42,2.74,142.35,400,335,65,0.838,1.07,11.86,554,505,49,0.912,0.81,-0.32,636,606,30,0.953,0.49,-5.5,79,127,33.94,25.46
8,Jocelyn Thibault,BUF,12,507.05,213,185,28,0.869,3.31,-8.65,22.26,59,47,12,0.797,1.42,-0.66,61,54,7,0.885,0.83,-1.64,90,81,9,0.9,1.06,-5.53,15,31,34.18,29.29
9,Kevin Weekes,N.J,9,343.41666666667,160,143,17,0.894,2.97,-2.46,15.1,44,36,8,0.818,1.4,0.45,52,45,7,0.865,1.22,-2.43,59,57,2,0.966,0.35,0.27,8,14,35.52,25.00
10,Patrick Lalime,CHI,32,1828.1,835,749,86,0.897,2.82,-10.13,68.91,231,184,47,0.797,1.54,-2.62,248,228,20,0.919,0.66,1.79,339,320,19,0.944,0.62,-5.94,34,44,33.3,24.33
11,Dan Cloutier,L.A,9,489.16666666667,247,219,28,0.887,3.43,-5.56,20.64,62,46,16,0.742,1.96,-4.09,67,62,5,0.925,0.61,0.89,115,108,7,0.939,0.86,-2.57,4,14,34.91,21.39
12,Jose Theodore,COL,53,3028.0833333333,1367,1244,123,0.91,2.44,1.21,117.79,383,319,64,0.833,1.27,9.59,371,337,34,0.908,0.67,-1.4,565,540,25,0.956,0.5,-3.24,68,157,35.7,24.17
13,Marty Turco,DAL,62,3628.5166666667,1543,1403,140,0.909,2.31,0.2,137.29,406,325,81,0.800,1.34,-2.99,457,419,38,0.917,0.63,2.16,639,618,21,0.967,0.35,3.61,89,142,35.02,22.43
14,Tim Thomas,BOS,57,3341.9833333333,1730,1594,136,0.921,2.44,21.19,134.28,455,375,80,0.824,1.44,7.42,431,397,34,0.921,0.61,3.87,750,730,20,0.973,0.36,8.89,89,144,40.82,24.93
15,Johan Hedberg,ATL,36,1927.2333333333,1026,915,111,0.892,3.46,-17.77,79.06,240,180,60,0.750,1.87,-13.89,259,231,28,0.892,0.87,-5.24,497,475,22,0.956,0.68,-2.86,51,84,37.04,24.67
16,Evgeni Nabokov,S.J,77,4495.55,1802,1639,163,0.91,2.18,0.74,156.03,473,383,90,0.810,1.2,0.88,477,431,46,0.904,0.61,-4.08,791,764,27,0.966,0.36,3.47,103,179,37.07,26.11
17,Tomas Vokoun,FLA,69,3991.3666666667,2213,2033,180,0.919,2.71,21.08,180.27,530,427,103,0.806,1.55,-1.16,599,552,47,0.922,0.71,5.64,1035,1007,28,0.973,0.42,11.86,77,203,37.25,27.39
18,John Grahame,CAR,17,827.51666666667,424,371,53,0.875,3.84,-14.47,38.13,131,100,31,0.763,2.25,-5.83,106,91,15,0.858,1.09,-5.69,174,167,7,0.96,0.51,-0.3,21,45,37.59,22.66
19,Dwayne Roloson,EDM,43,2340.2,1204,1085,119,0.901,3.05,-9.6,102.11,297,236,61,0.795,1.56,-3.93,299,265,34,0.886,0.87,-7.73,583,559,24,0.959,0.62,-1.54,74,120,36.84,24.55
20,Jean-Sebastien Giguere,ANA,58,3285.4166666667,1507,1390,117,0.922,2.14,19.93,126.83,390,334,56,0.856,1.02,18.94,400,363,37,0.908,0.68,-1.85,675,652,23,0.966,0.42,3.0,73,118,35.92,25.63
21,Martin Biron,PHI,62,3499.0666666667,1863,1710,153,0.918,2.62,16.28,147.98,422,342,80,0.810,1.37,1.08,459,420,39,0.915,0.67,1.33,913,879,34,0.963,0.58,1.17,91,149,38.23,22.53
22,Brian Boucher,S.J,5,238.1,103,96,7,0.932,1.76,2.36,9.18,27,25,2,0.926,0.5,3.19,29,26,3,0.897,0.76,-0.45,45,43,2,0.956,0.5,-0.27,4,5,32.1,29.00
23,Marc Denis,T.B,10,414.93333333333,199,171,28,0.859,4.05,-9.92,19.8,68,50,18,0.735,2.6,-4.93,52,46,6,0.885,0.87,-1.43,73,69,4,0.945,0.58,-1.19,10,26,36.53,29.82
24,Jean-Sebastien Aubin,L.A,19,827.3,385,341,44,0.886,3.19,-9.02,36.59,98,76,22,0.776,1.6,-3.17,126,108,18,0.857,1.31,-6.93,156,152,4,0.974,0.29,2.01,17,49,34.64,26.39
25,Vesa Toskala,TOR,66,3799.5666666667,1823,1648,175,0.904,2.76,-9.36,167.51,493,400,93,0.811,1.47,1.73,505,465,40,0.921,0.63,4.38,766,725,41,0.946,0.65,-11.5,89,171,35.8,24.62
26,Miikka Kiprusoff,CGY,76,4378.3166666667,2096,1899,197,0.906,2.7,-6.55,166.19,503,411,92,0.817,1.26,4.65,580,525,55,0.905,0.75,-4.03,955,905,50,0.948,0.69,-13.22,102,164,37.07,25.63
