,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Martin Brodeur,N.J,39,2296.8166666667,971,875,96,0.901,2.51,-12.33,78.66,223,182,41,0.816,1.07,-0.32,276,244,32,0.884,0.84,-6.78,423,400,23,0.946,0.6,-8.63,29,62,36.14,24.93
1,Nikolai Khabibulin,CHI,4,167.65,74,60,14,0.811,5.01,-7.62,6.6,24,19,5,0.792,1.79,-0.62,17,11,6,0.647,2.15,-4.45,32,29,3,0.906,1.07,-1.91,5,6,34.64,28.21
2,Tim Thomas,"DAL, FLA",48,2637.4833333333,1390,1262,128,0.908,2.91,-8.23,112.12,366,284,82,0.776,1.87,-15.23,366,337,29,0.921,0.66,4.45,617,600,17,0.972,0.39,3.95,48,142,35.62,23.12
3,Evgeni Nabokov,NYI,40,2235.6833333333,1085,982,103,0.905,2.76,-9.51,103.94,371,301,70,0.811,1.88,-2.31,285,263,22,0.923,0.59,4.05,385,374,11,0.971,0.3,2.07,67,107,33.07,23.01
4,Jean-Sebastien Giguere,COL,22,1211.85,608,555,53,0.913,2.62,-0.61,54.81,179,143,36,0.799,1.78,-3.34,145,136,9,0.938,0.45,4.25,260,252,8,0.969,0.4,0.83,24,67,33.81,18.72
5,Martin Biron,NYR,2,70.633333333333,38,29,9,0.763,7.65,-5.73,3.66,13,7,6,0.538,5.1,-3.63,6,5,1,0.833,0.85,-0.45,18,16,2,0.889,1.7,-1.39,2,5,33.13,17.67
6,Roberto Luongo,"FLA, VAN",56,3222.3333333333,1590,1461,129,0.919,2.4,8.0,130.72,385,309,76,0.803,1.42,-5.76,438,405,33,0.925,0.61,7.03,730,710,20,0.973,0.37,4.79,57,171,35.26,21.23
7,Scott Clemmensen,FLA,17,914.18333333333,454,407,47,0.896,3.08,-7.88,38.15,124,99,25,0.798,1.64,-2.38,119,106,13,0.891,0.85,-2.13,198,189,9,0.955,0.59,-2.28,21,41,36.53,29.49
8,Jason LaBarbera,EDM,7,348.31666666667,146,127,19,0.87,3.27,-6.42,12.36,35,30,5,0.857,0.86,1.39,39,32,7,0.821,1.21,-3.44,67,60,7,0.896,1.21,-4.72,6,12,36.96,28.32
9,Craig Anderson,OTT,53,2999.7333333333,1680,1530,150,0.911,3.0,-5.24,137.92,406,318,88,0.783,1.76,-13.93,380,348,32,0.916,0.64,2.73,838,809,29,0.965,0.58,-0.54,80,161,36.3,20.79
